lemma,pos1,polarity,seed
considerate,a,0.5415427032,0
expect,v,0.5409811136,0
utilise,v,0.5407780405,0
close,a,0.540660895,0
literary,a,0.5405729497,0
parliamentarian,n,0.5404319369,0
accomplish,v,0.5393277758,0
admirably,r,0.5391987195,0
profitable,a,0.5389335227,0
objective,a,0.5378536887,0
trustworthy,a,0.5375584214,0
reassurance,n,0.5374500109,0
sturdy,a,0.5372310435,0
public-spirited,a,0.5370899132,0
mature,a,0.5369257876,0
enviable,a,0.5367787548,0
expert,a,0.5367445326,0
obtain,v,0.5359494874,0
co-operate,v,0.5358068104,0
career,n,0.5355514345,0
chair,n,0.5349621602,0
favourable,a,0.5349543608,0
refreshing,a,0.5341389479,0
gifted,a,0.5329831041,0
stride,n,0.5322384971,0
versatility,n,0.5320697057,0
reaffirm,v,0.5319107566,0
forum,n,0.5318296325,0
decent,a,0.5309536424,0
co-ordinated,a,0.5305502658,0
integrate,v,0.530464333,0
brief,a,0.5299781376,0
gratitude,n,0.5291944624,0
hospitality,n,0.5291448995,0
attract,v,0.5291070015,0
beauty,n,0.5289177468,0
guide,n,0.5286251879,0
laudable,a,0.5285998596,0
ability,n,0.528526108,0
complement,v,0.5284025464,0
firm,a,0.5278055906,0
pithy,a,0.5277676119,0
ideal,n,0.5270287978,0
sufficiently,r,0.5265316139,0
distinctive,a,0.5263040476,0
culture,v,0.5256303756,0
desirability,n,0.5243297911,0
feasible,a,0.5243104335,0
heritage,n,0.5240230117,0
customary,a,0.5240123128,0
assistance,n,0.523790548,0
visit,n,0.5233175128,0
re-establish,v,0.5228136033,0
approval,n,0.5220491373,0
ample,a,0.5218942598,0
art,n,0.5217644582,0
development,n,0.5207451905,0
package,n,0.5202855232,0
cogent,a,0.5202100996,0
fulfil,v,0.5197951633,0
willing,a,0.5192726705,0
extend,v,0.5190624856,0
technology,n,0.5190376358,0
voluntary,a,0.5185378166,0
accessibility,n,0.5183379738,0
aim,n,0.5183115086,0
acceptable,a,0.5178659937,0
beneficial,a,0.5175455566,0
fit,a,0.5174499912,0
assurance,n,0.5173503865,0
devoted,a,0.5172984251,0
business-like,a,0.5165348122,0
reassure,v,0.5165128495,0
non-party,a,0.5164460801,0
consistency,n,0.5163970603,0
pride,n,0.5150080902,0
calm,n,0.5149106508,0
mix,n,0.5146514072,0
broad-minded,a,0.5145141102,0
open-minded,a,0.5144480945,0
tidy,a,0.5143733209,0
promising,a,0.5134400115,0
regeneration,n,0.5132168163,0
modernised,a,0.5129009719,0
powerful,a,0.5126094503,0
concise,a,0.512467039,0
internationalist,a,0.5121378649,0
informal,a,0.512028462,0
win,v,0.5118898171,0
inspiration,n,0.5116388074,0
pacific,a,0.5115415734,0
available,a,0.5114851243,0
credentials,n,0.5109504644,0
non-political,a,0.5105080969,0
delegation,n,0.50995251,0
enthusiasm,n,0.5092274788,0
depend,v,0.5092106618,0
talented,a,0.5090452295,0
staunch,a,0.5084677893,0
promise,v,0.5083745843,0
eager,a,0.5083134864,0
hearten,v,0.5082030763,0
forthright,a,0.5081995513,0
humane,n,0.5073738248,0
expansive,a,0.5073629281,0
visitor,n,0.5073300294,0
educative,a,0.5072826694,0
liaison,n,0.5072080856,0
steady,a,0.5071867788,0
indispensable,a,0.5070881302,0
conducive,a,0.5070649843,0
dedicate,v,0.5070406694,0
testimony,n,0.5070299662,0
creditable,a,0.506956525,0
reflective,a,0.5069359986,0
modern,a,0.506730512,0
clean,a,0.5062184936,0
reward,v,0.505010913,0
study,n,0.504528118,0
loyal,a,0.50446692,0
representative,n,0.5042281343,0
advantageous,a,0.5037897033,0
goal,n,0.5034843863,0
openness,n,0.5032386914,0
harness,v,0.50305104,0
effort,n,0.5027635516,0
strive,v,0.5019255502,0
closer,a,0.5014927659,0
desire,v,0.5013845439,0
tactful,a,0.5013150037,0
recognition,n,0.5011922315,0
advocacy,n,0.5007794079,0
ideally,r,0.5006935446,0
speech,n,0.5004710587,0
stability,n,0.5002834026,0
gentle,a,0.5001500238,0
compact,a,0.5000920893,0
gift,n,0.4999860006,0
rôle,n,0.4998183171,0
architectural,a,0.4996301746,0
gratify,v,0.4995473288,0
volunteer,n,0.4994231187,0
impress,v,0.4990682241,0
independent,a,0.4989573279,0
temperate,a,0.4987458722,0
praiseworthy,a,0.4986183664,0
inexpensive,a,0.4984353275,0
more,r,0.4980215565,0
advice,n,0.4979931706,0
wholesome,a,0.4978762436,0
wish,n,0.497799902,0
swift,n,0.4974364638,0
well-educated,a,0.4972093773,0
instructive,a,0.4969775195,0
progress,v,0.4969474149,0
sufficient,a,0.4962264963,0
honour,v,0.4958779786,0
right,a,0.4954197122,0
optimum,a,0.4947189854,0
inclusive,a,0.4944901497,0
learning,n,0.4943951842,0
footing,n,0.4943764567,0
emulate,v,0.4938926528,0
equip,v,0.4938201734,0
qualified,a,0.4937553092,0
attainment,n,0.4936598487,0
academy,n,0.4929501408,0
further,v,0.4928172387,0
punctual,a,0.4926874794,0
fellowship,n,0.4924609973,0
undertake,v,0.4922069387,0
leadership,n,0.4921930906,0
collaborate,v,0.4920511607,0
rational,a,0.4919952414,0
cooperate,v,0.4918118019,0
dedication,n,0.4917333035,0
nucleus,n,0.4906592069,0
vocational,a,0.4904191989,0
commitment,n,0.4903722176,0
basis,n,0.4897902426,0
cordially,r,0.488991012,0
acknowledge,v,0.4883820562,0
energy,n,0.4881213186,0
tireless,a,0.4880773211,0
perfectly,r,0.4880132741,0
academically,r,0.4880025552,0
innovation,n,0.4879831169,0
devote,v,0.4879742763,0
beautifully,r,0.4874179641,0
spirit,n,0.4870521663,0
resume,v,0.4865962644,0
harmony,n,0.4865473373,0
desirous,a,0.4863211267,0
opening,n,0.486314707,0
abundant,a,0.4857514735,0
architecture,n,0.4856551829,0
musical,a,0.4855016898,0
uncontroversial,a,0.4853764781,0
flourish,v,0.4853682458,0
join,v,0.4853530684,0
stimulating,a,0.4848740638,0
nonparty,a,0.4848248536,0
new,a,0.484176013,0
patriotic,a,0.4839840333,0
advisory,a,0.4838784769,0
charitable,a,0.4836134003,0
advocate,n,0.4835201695,0
trust,v,0.4831931493,0
together,r,0.4812381183,0
flourishing,a,0.479976871,0
companionship,n,0.4794145668,0
aspire,v,0.4791782016,0
goodwill,n,0.4787200362,0
blend,v,0.4785434122,0
library,n,0.478032661,0
impressed,a,0.4779464556,0
unbiased,a,0.4778986436,0
comradeship,n,0.4777443791,0
equal,a,0.4764532911,0
participation,n,0.4763189737,0
conjunction,n,0.476212307,0
hospitable,a,0.4756555046,0
enthusiastically,r,0.4754085414,0
scenery,n,0.4747680609,0
regular,a,0.4746702611,0
supremely,r,0.4746604163,0
evaluation,n,0.4739317059,0
status,n,0.4737210722,0
proud,n,0.4736541463,0
cultural,a,0.4731973654,0
transparent,a,0.4731723327,0
also,r,0.4731674964,0
progressive,a,0.4730884672,0
combine,v,0.4725221929,0
consensual,a,0.4721659394,0
engaging,a,0.4718333427,0
genial,a,0.4711287396,0
fitting,a,0.4710553396,0
hardworking,a,0.4707385028,0
ambitious,a,0.4704240906,0
enormously,r,0.4701531934,0
athletic,a,0.4701069179,0
sound,n,0.4699686548,0
salute,v,0.4698588819,0
decentralised,a,0.4698460001,0
approbation,n,0.4696164003,0
accomplishment,n,0.4694135228,0
autonomy,n,0.4692435803,0
need,v,0.4692217202,0
key,a,0.4692211268,0
approach,n,0.4691426525,0
co-operative,n,0.4690819178,0
green,a,0.4685971061,0
good,n,0.4679453386,0
science,n,0.4676129468,0
project,n,0.4675777927,0
indefatigable,a,0.4673844109,0
amenity,n,0.4673052253,0
vindication,n,0.4672062263,0
leading,a,0.4670724411,0
much-needed,a,0.4670148066,0
brisk,a,0.4667480529,0
all-weather,a,0.4667407879,0
sport,v,0.4667155741,0
moderately,r,0.4666620464,0
fluency,n,0.466657281,0
restrained,a,0.4665918825,0
accurate,a,0.4665899993,0
helpfulness,n,0.4664439183,0
recreational,a,0.4664140891,0
certainly,r,0.4663640568,0
accommodate,v,0.4658631111,0
buoyant,a,0.4658547683,0
sport,n,0.4652917023,0
integral,a,0.4647001959,0
pioneer,v,0.4645912462,0
fairer,a,0.4644944604,0
well-considered,a,0.4644192181,0
champion,v,0.4642685331,0
augury,n,0.4636863,0
boost,n,0.4635626286,0
behalf,n,0.463225412,0
nutritious,a,0.4628192892,0
detailed,a,0.4627507854,0
clarification,n,0.4627409839,0
neat,a,0.4622461843,0
better,r,0.4617428889,0
enduring,a,0.4617255524,0
preferably,r,0.4613397867,0
listen,v,0.4611369285,0
passionate,a,0.4605494858,0
good-tempered,a,0.4604784312,0
independent-minded,a,0.460298233,0
co-ordination,n,0.4600318076,0
inventive,a,0.4599674118,0
always,r,0.4592501454,0
consolidate,v,0.4590062832,0
assiduity,n,0.4588917331,0
predecessor,n,0.4581663448,0
professional,a,0.4581173059,0
crucial,a,0.4579291909,0
quick,a,0.4579029708,0
much,r,0.4578888971,0
mutual,a,0.4578370021,0
manly,a,0.4577187358,0
return,n,0.457654845,0
very,r,0.4576455248,0
varied,a,0.4574186828,0
marvellously,r,0.4572179286,0
shape,v,0.4571923978,0
co-ordinate,a,0.4571493708,0
training,n,0.45710226,0
resourceful,a,0.456971302,0
advantage,n,0.4566809338,0
relevant,a,0.4566167934,0
unanimity,n,0.4566042196,0
historic,a,0.4565540897,0
conduct,v,0.4564911089,0
civic,a,0.4562992334,0
cleaner,a,0.4555889302,0
devise,v,0.4555741313,0
remunerative,a,0.4555135135,0
college,n,0.4550179685,0
wish,v,0.4549341478,0
intelligible,a,0.4548747449,0
dispassionate,a,0.4547936495,0
unequivocal,a,0.4547649708,0
tolerant,a,0.4547420722,0
expert,n,0.454469237,0
wholeheartedly,r,0.4544146885,0
faithful,a,0.4541524962,0
include,v,0.4526042876,0
pioneer,n,0.4525494592,0
open,v,0.4525131251,0
guaranteed,a,0.4523067604,0
educational,a,0.4522957346,0
well-equipped,a,0.452242219,0
amazingly,r,0.4521044294,0
go-ahead,n,0.4519385116,0
prize,v,0.4516908156,0
freest,a,0.4516159855,0
satisfy,v,0.451556212,0
reason,v,0.4514668303,0
park,n,0.4514562737,0
unselfish,a,0.4513492155,0
commendably,r,0.4512363007,0
utilisation,n,0.4510184129,0
incorporate,v,0.4509921621,0
eloquence,n,0.4507097091,0
perform,v,0.45052737,0
decisive,a,0.450336968,0
generously,r,0.450300567,0
closest,a,0.4502446837,0
disinterested,a,0.4500162655,0
environment,n,0.45000218,0
adaptability,n,0.4497659056,0
attainable,a,0.449095977,0
association,n,0.4490593056,0
variety,n,0.4487898976,0
willingness,n,0.4486349076,0
peaceable,a,0.4485868198,0
expansion,n,0.4484898952,0
forestry,n,0.4483871594,0
evolve,v,0.4481733846,0
inspire,v,0.4481344617,0
good-will,n,0.4481212075,0
amiable,a,0.4477831118,0
spirited,a,0.4477672303,0
ingenuity,n,0.4475426856,0
look,v,0.447070616,0
concur,v,0.4470454762,0
performance,n,0.4469085439,0
functioning,n,0.4467544715,0
traditional,a,0.4466179132,0
lasting,a,0.4465787768,0
service,n,0.4465255547,0
closely,r,0.4464995376,0
diversification,n,0.4457442593,0
gesture,n,0.4455812877,0
usual,a,0.4455654469,0
auspices,n,0.4453400295,0
prerequisite,n,0.4453081485,0
appropriately,r,0.4453027549,0
shine,v,0.4452814995,0
tourist,n,0.4451840296,0
far-seeing,a,0.4451588718,0
passage,n,0.4446292414,0
transformation,n,0.4443796122,0
bless,v,0.4442534312,0
research,n,0.4441021561,0
serviceable,a,0.4440775165,0
convenient,a,0.4439258488,0
renown,v,0.4439179732,0
enough,a,0.4437487224,0
requisite,a,0.4436811574,0
acknowledgment,n,0.4435799853,0
suit,v,0.443483253,0
endorsement,n,0.4434082402,0
cycling,n,0.4433923193,0
mentor,n,0.4431511967,0
satisfied,a,0.4431506266,0
post,n,0.4424637899,0
receptive,a,0.442206749,0
stimulating,n,0.4418362021,0
unanimous,a,0.441667862,0
bold,a,0.4415447928,0
approve,v,0.4412435775,0
sincerity,n,0.4412106088,0
elegance,n,0.4408065015,0
steer,v,0.4406778244,0
clarity,n,0.4406361132,0
fit,v,0.4405126037,0
qualify,v,0.4403921707,0
nobler,a,0.4400853633,0
proficiency,n,0.4394870298,0
self-government,n,0.4394032455,0
countryside,n,0.4392698261,0
colourful,a,0.4390971378,0
compliment,n,0.4389647113,0
bestow,v,0.4385557225,0
chance,n,0.438524449,0
squadron,n,0.4384142497,0
wide,a,0.4383307223,0
efficiently,r,0.4382430366,0
comfortably,r,0.4381617245,0
avenue,n,0.4379684921,0
enterprise,n,0.4379368121,0
agree,v,0.4374688364,0
restoration,n,0.4373942209,0
democratic,a,0.4372394361,0
work,v,0.4371842483,0
maximise,v,0.4370457137,0
convincing,a,0.4368426479,0
successor,n,0.4367782357,0
grudge,v,0.4363973409,0
generally,r,0.4362833861,0
echo,v,0.4362230702,0
foundation,n,0.4362184527,0
acceptance,n,0.4361949461,0
complimentary,a,0.4360992301,0
initiate,v,0.4359959475,0
deploy,v,0.435824661,0
glowing,a,0.435692757,0
confer,v,0.4356447236,0
infuse,v,0.4356319275,0
prize,n,0.4355756919,0
possess,v,0.4355697876,0
co-ordinate,v,0.435507163,0
tangible,a,0.4353498697,0
establishment,n,0.4348749249,0
advance,n,0.4344787558,0
faithful,n,0.4342956703,0
mission,n,0.4342371514,0
peace,n,0.4339316664,0
audience,n,0.4337892713,0
usefully,r,0.4336956976,0
commensurate,a,0.4336290704,0
match,v,0.4334893838,0
chivalrous,a,0.4334833375,0
well-managed,a,0.4332554582,0
amity,n,0.433019331,0
stalwart,a,0.432927732,0
swift,a,0.4328913631,0
eminent,a,0.432841266,0
characteristically,r,0.4324533705,0
hopefully,r,0.4323722446,0
competence,n,0.4322285098,0
highest,a,0.4320917785,0
earnest,a,0.4320556684,0
command,n,0.4319839834,0
enlightenment,n,0.431897654,0
centre,n,0.4317291316,0
qualification,n,0.4317213149,0
unique,a,0.4316366111,0
cooperative,a,0.4313603674,0
unity,n,0.4312973716,0
delight,v,0.4312382355,0
way,n,0.4309214835,0
advancement,n,0.4308759147,0
body,n,0.430738819,0
proficient,a,0.4306420633,0
standard,n,0.4306008792,0
coordinate,v,0.4304178361,0
good-humoured,a,0.4301760394,0
reception,n,0.4299994584,0
complete,v,0.4297679219,0
sponsor,v,0.4297376242,0
devotion,n,0.4297303835,0
commonwealth,n,0.4294949098,0
safeguard,v,0.4293681409,0
boost,v,0.4292196197,0
achievable,a,0.4285824757,0
patient,a,0.4281776026,0
appointment,n,0.4281765391,0
make,v,0.4281102894,0
esteem,n,0.428034555,0
united,a,0.427992824,0
inimitable,a,0.4278755009,0
field,n,0.4278642141,0
self-sustaining,a,0.4277806207,0
organisation,n,0.4275444803,0
completion,n,0.4274155487,0
value,n,0.427038349,0
full-time,a,0.4267061128,0
objectivity,n,0.4266030208,0
require,v,0.4265637681,0
engineering,n,0.4265536277,0
sufficiency,n,0.4264689887,0
calibre,n,0.4263593961,0
highly,r,0.426020021,0
commission,v,0.4257236969,0
sparkling,a,0.425627784,0
specialist,n,0.4256249388,0
visit,v,0.425541957,0
respective,a,0.4249548021,0
see,v,0.4244667018,0
complement,n,0.4244537025,0
unite,v,0.4244297752,0
tranquil,a,0.4242194249,0
gratified,a,0.4240382478,0
announce,v,0.4235141481,0
candid,a,0.4232904043,0
respectful,a,0.4232360046,0
function,v,0.4231138629,0
rapid,a,0.423052831,0
future,n,0.4227207857,0
select,v,0.4226816,0
conversion,n,0.4226528567,0
colleague,n,0.4222207203,0
believer,n,0.4220493352,0
serve,v,0.421976109,0
aviation,n,0.4219091209,0
renewable,a,0.4217911547,0
re-establishment,n,0.4215582905,0
nourishing,a,0.4214208736,0
desire,n,0.4213163996,0
chairman,n,0.4211638061,0
receive,v,0.4209582261,0
well-earned,a,0.4208029332,0
restore,v,0.4207365836,0
graceful,a,0.4207093394,0
relationship,n,0.4206565959,0
sunshine,n,0.4206485606,0
refresh,v,0.4205072382,0
advance,v,0.420384134,0
mutually,r,0.4202518262,0
inward,a,0.4202212458,0
healthier,a,0.4201944163,0
consonant,a,0.4199076281,0
gateway,n,0.4198439162,0
key,n,0.4198381107,0
affectionate,a,0.4196405085,0
aspiration,n,0.4190754508,0
disciplined,a,0.4190626673,0
common-sense,a,0.4189724133,0
tremendously,r,0.4189683374,0
more,a,0.4188984998,0
self-help,n,0.4188664519,0
fairness,n,0.4188490218,0
debate,n,0.4184767966,0
experienced,a,0.4182332509,0
fairest,a,0.4182156802,0
broad-based,a,0.4181390661,0
ambassador,n,0.4180164634,0
pilot,v,0.4179794306,0
impeccable,a,0.417633104,0
prosper,v,0.4175644698,0
inform,v,0.4174714593,0
knowledge,n,0.4174648805,0
space,n,0.417400222,0
manage,v,0.4173597803,0
coaching,n,0.4173256684,0
painstaking,a,0.4172458184,0
wisdom,n,0.4170147979,0
scholarship,n,0.4168494553,0
doubtless,v,0.416666824,0
well-thought-out,a,0.4165867475,0
gentleman,n,0.4165641673,0
chat,n,0.4163595668,0
endowed,a,0.4163536126,0
trenchant,a,0.4161470376,0
well-being,n,0.4157802383,0
manner,n,0.415593224,0
elevation,n,0.4153178908,0
kind,r,0.4152888226,0
straightforward,a,0.4151956835,0
territorial,a,0.4151904389,0
cathedral,n,0.4150886068,0
craft,v,0.4149785848,0
satisfactorily,r,0.4149410622,0
strengthening,n,0.4149009427,0
new-found,a,0.4148525144,0
share,v,0.4148121442,0
educate,v,0.4147677384,0
unified,a,0.4147519386,0
respectable,a,0.4146673985,0
offering,n,0.4146600397,0
expedite,v,0.4146183283,0
technical,a,0.4142036986,0
blessing,n,0.4141239247,0
victory,n,0.4140330015,0
sentiment,n,0.4139969062,0
harmoniously,r,0.4138327271,0
exemplary,a,0.4136021381,0
impartiality,n,0.4135895001,0
bid,n,0.4135801411,0
encomium,n,0.4135528241,0
fair-minded,a,0.4131737205,0
magnanimous,a,0.4128950288,0
jolly,r,0.4127329003,0
all-round,a,0.4126305557,0
acclaim,n,0.4124003296,0
helpfully,r,0.4123266083,0
representation,n,0.4118667479,0
launch,n,0.411768955,0
unreserved,a,0.4116757269,0
sober,a,0.4115272176,0
doughty,a,0.4115026577,0
specialised,a,0.4114230948,0
discussion,n,0.4113180571,0
closer,r,0.4112559808,0
copy,n,0.410966734,0
readable,a,0.4102376247,0
skilled,a,0.4100830412,0
philanthropic,a,0.410046082,0
keep,v,0.4098743026,0
impetus,n,0.4098249651,0
supposedly,r,0.4098181222,0
millennium,a,0.4098174311,0
reinforcement,n,0.4091197516,0
